Category,Item,Calories / Serving Size,Calories From Fat / Serving Size,Total Fat (g),Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars / Serving (g),Protein / Serving Size,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Lunch,Premium Grilled Chicken Classic Sandwich,50,11.42857143,9,13,2,9,0,65,22,820,34,42,14,3,13,1.142857143,4,4,8,15,20
Lunch,Premium Crispy Chicken Club Sandwich,76.13636364,34.09090909,33,51,9,44,0,85,29,1410,59,58,19,3,14,1.25,4.1,8,20,30,20
Lunch,Premium Grilled Chicken Club Sandwich,61.44578313,21.68674699,20,31,7,36,0,105,35,1250,52,44,15,3,13,1.084337349,4.8,8,20,30,20
Lunch,Premium Crispy Chicken Ranch BLT Sandwich,75.30864198,30.86419753,28,43,6,31,0,70,24,1400,58,57,19,3,13,1.358024691,4,4,20,15,20
Lunch,Premium Grilled Chicken Ranch BLT Sandwich,59.21052632,17.10526316,15,23,4.5,22,0,90,30,1230,51,43,14,3,13,1.184210526,4.7,4,20,15,20
Lunch,Bacon Clubhouse Crispy Chicken Sandwich,75,34,38,59,10,51,0.5,90,31,1720,72,65,22,4,15,1.6,3.6,8,25,30,15
Lunch,Bacon Clubhouse Grilled Chicken Sandwich,62.10526316,24.21052632,25,39,8,42,0,110,37,1560,65,51,17,4,15,1.473684211,4.2,8,30,30,15
Lunch,Southern Style Crispy Chicken Sandwich,76.78571429,30.35714286,19,29,3,15,0,45,14,910,38,43,14,2,7,1.25,3.8,4,2,15,15
Lunch,McChicken,70.58823529,27.45098039,16,25,3,15,0,35,11,800,33,40,13,2,7,0.980392157,2.7,0,2,10,15
Lunch,Bacon Cheddar McChicken,80,36.66666667,24,38,7,35,0,65,21,1260,53,43,14,2,8,1,3.7,4,10,20,15
Lunch,Bacon Buffalo Ranch McChicken,75.43859649,33.33333333,21,32,5,25,0,50,17,1260,53,41,14,2,7,1.052631579,3.5,2,10,15,15
Lunch,Buffalo Ranch McChicken,69.23076923,28.84615385,16,25,3,16,0,35,11,990,41,40,13,2,7,0.961538462,2.7,2,2,15,15
